Year,PCE
1959,8776
1960,8837
1961,8873
1962,9170
1963,9412
1964,9839
1965,10331
1966,10793
1967,10994
1968,11510
1969,11820
1970,11955
1971,12256
1972,12868
1973,13371
1974,13148
1975,13320
1976,13919
1977,14364
1978,14837
1979,15030
1980,14816
1981,14879
1982,14944
1983,15656
1984,16343
1985,17040
1986,17570
1987,17994
1988,18554
1989,18898
1990,19067
1991,18848
1992,19208
1993,19593
1994,20082
1995,20382
1996,20835
1997,21365
1998,22183
1999,23050
2000,23860
2001,24205
2002,24612
2003,25043
2004,25711
2005,26277
2006,26828
